file,bilateral_filtering
PT-PNA-DGFP-0001-002-0014-00008_m0001,60.92
PT-PNA-DGFP-0001-002-0014-00048_m0001,52.97
PT-PNA-DGFP-0002-0001-00032-00002_m0001,51.52
PT-PNA-DGFP-0002-0001-00088-00002_m0001,56.89
PT-PNA-DGFP-0006-0001-00005-00003_m0001,73.68
PT-PNA-DGFP-0006-0001-00008_m0001,23.64
PT-PNA-DGFP-0006-0001-00030_m0001,3.45
PT-PNA-DGFP-0006-0001-00056_m0001,71.64
PT-PNA-DGFP-0006-0001-00096-00001_m0001,61.67
PT-TT-SNI-DSC-13-10_m0009,55.37
PT-TT-SNI-DSC-13-10_m0012,64.92
PT-TT-SNI-DSC-13-10_m0013,79.28
PT-TT-SNI-DSC-13-10_m0014,46.73
PT-TT-SNI-DSC-13-10_m0015,65.06
PT-TT-SNI-DSC-13-10_m0022,67.95
PT-TT-SNI-DSC-13-10_m0023,61.54
PT-TT-SNI-DSC-13-10_m0063,60.5
PT-TT-SNI-DSC-13-10_m0064,61.74
PT-TT-SNI-DSC-13-10_m0065,81.28
PT-TT-SNI-DSC-13-10_m0070,61.36
PT-TT-SNI-DSC-13-10_m0072,61.44
PT-TT-SNI-DSC-13-10_m0073,68.11
PT-TT-SNI-DSC-13-10_m0074,69.42
PT-TT-SNI-DSC-13-10_m0076,75.28
PT-TT-SNI-DSC-13-10_m0078,61.54
PT-TT-SNI-DSC-13-10_m0111,53.49
PT-TT-SNI-DSC-13-10_m0112,70.24
PT-TT-SNI-DSC-13-10_m0114,65.82
PT-TT-SNI-DSC-13-10_m0116,68.15
PT-TT-SNI-DSC-13-10_m0277,69.5
PT-TT-SNI-DSC-13-10_m0278,74.1
PT-TT-SNI-DSC-13-10_m0279,74.56
PT-TT-SNI-DSC-13-10_m0281,72.33
PT-TT-SNI-DSC-13-10_m0289,60.38
PT-TT-SNI-DSC-13-10_m0291,46.24
PT-TT-SNI-DSC-13-10_m0319,72.62
PT-TT-SNI-DSC-13-10_m0320,50.85
