file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-PNA-DGFP-0001-002-0014-00008_m0001,63.64,63.64,43.48,29.01,60.92,49.2,44.69,54.44,46.84,63.64,0.0,60.92,63.64,46.51,62.43,60.57
PT-PNA-DGFP-0001-002-0014-00048_m0001,43.98,43.98,17.32,20.74,52.97,51.34,54.17,45.92,26.76,43.98,0.0,49.2,43.98,32.29,53.19,52.69
PT-PNA-DGFP-0002-0001-00032-00002_m0001,62.07,62.07,51.35,57.14,51.52,48.98,8.6,64.83,62.07,62.07,0.0,57.93,62.07,29.73,49.32,54.05
PT-PNA-DGFP-0002-0001-00088-00002_m0001,59.82,59.82,58.41,58.67,56.89,50.86,53.51,54.39,0.0,59.82,0.0,58.18,59.82,42.24,59.03,57.89
PT-PNA-DGFP-0006-0001-00005-00003_m0001,70.5,70.5,69.93,72.06,73.68,56.21,64.23,64.75,72.06,70.5,0.0,69.06,70.5,13.5,73.68,72.06
PT-PNA-DGFP-0006-0001-00008_m0001,35.85,35.85,2.82,2.74,23.64,53.16,55.94,38.89,2.86,35.85,0.0,45.16,35.85,44.3,49.65,50.33
PT-PNA-DGFP-0006-0001-00030_m0001,3.45,3.45,3.45,3.45,3.45,11.76,13.95,3.45,3.45,3.45,0.0,3.45,3.45,36.84,6.9,38.71
PT-PNA-DGFP-0006-0001-00056_m0001,70.59,70.59,69.7,58.73,71.64,55.9,61.76,57.55,51.61,70.59,0.0,70.59,70.59,36.99,70.59,52.12
PT-PNA-DGFP-0006-0001-00096-00001_m0001,61.02,61.02,62.18,66.09,61.67,58.33,56.67,65.55,62.07,61.02,0.0,63.87,61.02,51.56,58.82,59.02
PT-TT-SNI-DSC-13-10_m0009,57.74,57.74,56.67,55.83,55.37,47.43,51.43,53.33,42.86,57.74,0.0,53.94,57.74,40.5,57.14,60.83
PT-TT-SNI-DSC-13-10_m0012,61.04,61.04,64.08,61.29,64.92,56.95,63.48,63.87,50.0,61.04,0.0,63.33,61.04,54.43,61.04,59.69
PT-TT-SNI-DSC-13-10_m0013,79.45,79.45,79.09,70.75,79.28,75.11,75.8,79.45,66.95,79.45,0.0,75.68,79.45,69.64,79.09,80.37
PT-TT-SNI-DSC-13-10_m0014,50.49,50.49,46.58,29.92,46.73,44.16,41.88,43.4,50.46,50.49,0.0,38.04,50.49,33.73,50.49,50.15
PT-TT-SNI-DSC-13-10_m0015,69.14,69.14,63.41,63.29,65.06,58.46,74.07,61.73,11.32,69.14,0.0,64.37,69.14,60.24,50.67,64.29
PT-TT-SNI-DSC-13-10_m0022,67.96,67.96,68.83,68.17,67.95,62.42,62.86,65.61,50.46,67.96,0.0,61.83,67.96,32.93,68.61,67.52
PT-TT-SNI-DSC-13-10_m0023,58.12,58.12,67.83,64.41,61.54,39.06,45.53,67.24,29.75,58.12,0.0,59.5,58.12,15.04,59.13,63.87
PT-TT-SNI-DSC-13-10_m0063,62.76,62.76,59.92,55.23,60.5,49.18,52.85,58.92,38.6,62.76,0.0,58.58,62.76,36.0,62.76,61.92
PT-TT-SNI-DSC-13-10_m0064,61.44,61.44,62.58,61.74,61.74,61.69,62.8,63.43,56.21,61.44,0.0,63.3,61.44,50.5,61.44,60.45
PT-TT-SNI-DSC-13-10_m0065,80.54,80.54,78.18,79.09,81.28,72.89,77.13,80.72,67.84,80.54,0.0,76.58,80.54,62.01,79.45,78.92
PT-TT-SNI-DSC-13-10_m0070,63.91,63.91,59.65,61.54,61.36,48.68,53.57,58.82,39.05,63.91,0.0,60.0,63.91,24.44,62.72,59.67
PT-TT-SNI-DSC-13-10_m0072,61.74,61.74,58.66,47.15,61.44,44.22,58.12,64.94,31.09,61.74,0.0,62.42,61.74,38.59,61.74,55.42
PT-TT-SNI-DSC-13-10_m0073,73.03,73.03,65.22,57.67,68.11,45.92,64.55,73.45,48.55,73.03,0.0,58.95,73.03,36.54,69.95,62.07
PT-TT-SNI-DSC-13-10_m0074,67.49,67.49,64.44,48.83,69.42,64.54,62.79,68.57,52.03,67.49,0.0,68.31,67.49,57.83,65.29,67.49
PT-TT-SNI-DSC-13-10_m0076,76.01,76.01,76.47,73.72,75.28,76.53,43.64,75.0,25.45,76.01,0.0,72.79,76.01,26.81,74.35,77.94
PT-TT-SNI-DSC-13-10_m0078,61.54,61.54,59.83,54.24,61.54,43.55,48.33,56.67,12.31,61.54,0.0,51.67,61.54,11.11,59.32,58.82
PT-TT-SNI-DSC-13-10_m0111,53.49,53.49,53.71,52.94,53.49,48.09,46.93,53.49,39.77,53.49,0.0,53.42,53.49,41.76,51.76,52.02
PT-TT-SNI-DSC-13-10_m0112,70.42,70.42,68.92,68.59,70.24,64.9,30.43,63.44,10.85,70.42,0.0,64.25,70.42,6.9,70.42,68.8
PT-TT-SNI-DSC-13-10_m0114,64.3,64.3,63.45,63.29,65.82,50.12,21.05,64.14,9.09,64.3,0.0,48.35,64.3,0.7,64.3,59.61
PT-TT-SNI-DSC-13-10_m0116,68.59,68.59,61.49,57.94,68.15,63.98,5.38,66.24,55.26,68.59,0.0,66.67,68.59,52.76,69.03,66.46
PT-TT-SNI-DSC-13-10_m0277,69.5,69.5,68.59,67.14,69.5,64.98,62.36,69.23,38.64,69.5,0.0,67.64,69.5,41.64,69.5,65.4
PT-TT-SNI-DSC-13-10_m0278,71.71,71.71,73.93,71.05,74.1,72.37,68.63,72.37,49.52,71.71,0.0,71.71,71.71,45.16,71.71,71.24
PT-TT-SNI-DSC-13-10_m0279,74.56,74.56,74.56,74.56,74.56,73.36,69.18,74.56,52.81,74.56,0.0,73.17,74.56,42.95,74.56,73.61
PT-TT-SNI-DSC-13-10_m0281,72.33,72.33,72.1,71.47,72.33,72.96,69.18,70.85,53.37,72.33,0.0,71.92,72.33,48.19,72.33,72.33
